source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Forbes'}","JJ Kinahan, Senior Contributor, 
 JJ Kinahan, Senior Contributor
 https://www.forbes.com/sites/jjkinahan/",Six Straight Days Of Gains For Stocks,We'll see how the market ultimately decides to interpret today's economic data and if we close at yet another record high or take a breather.,https://www.forbes.com/sites/jjkinahan/2024/01/26/six-straight-days-of-gains-for-stocks/,https://imageio.forbes.com/specials-images/imageserve/65b3bd3e2e269f7457536e06/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-01-26T14:29:02Z,"Microsoft announced layoffs in its Gaming unit, following the acquisition of Activision Blizzard. ... [+] (Photo by Smith Collection/Gado/Getty Images)
Getty Images
Key Takeaways
<ul><li>The S&amp… [+4732 chars]"
"{'id': None, 'name': 'Forbes'}","John Kang, Forbes Staff, 
 John Kang, Forbes Staff
 https://www.forbes.com/sites/johnkang/",Little-Known Biotech Company Shows How Hard It Is To Ride The Ozempic Wave,"Shares of Korea-listed Caregen have surged as much as 390% since March 2022, fueled by investor optimism that its new diabetes-weight loss supplement could give the little-known biotech company an Ozempic-like boost. But unlike Ozempic maker Novo Nordisk, Car…",https://www.forbes.com/sites/johnkang/2024/01/21/little-known-biotech-company-shows-how-hard-it-is-to-ride-the-ozempic-wave/,"https://imageio.forbes.com/specials-images/imageserve/65a8fe6352659d2a5930c678/0x0.jpg?format=jpg&crop=1920,1080,x0,y0,safe&height=900&width=1600&fit=bounds",2024-01-22T03:00:41Z,"Images: Getty Images; Illustration: Shanshan Kao for Forbes Asia
In the U.S., Eli Lillys Mounjaro, a diabetes drug that also helps with weight loss, helped boost the insulin pioneers share price by … [+8786 chars]"
"{'id': 'cnn', 'name': 'CNN'}",Anna Cooban,China and Europe’s trade spat escalates as Beijing targets French brandy,China is opening an investigation into the price of brandy imported from the European Union in what is widely seen as retaliation for the bloc’s similar probe into the influx of cheap Chinese electric cars into the region.,https://www.cnn.com/2024/01/05/business/china-europe-french-brandy-investigation/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/240105105451-china-brandy-121723.jpg?c=16x9&q=w_800,c_fill",2024-01-05T12:17:27Z,China is opening an investigation into the price of brandy imported from the European Union in a move seen as retaliation for the blocs probe into an influx of cheap Chinese electric cars into Europe… [+1519 chars]
"{'id': None, 'name': 'Erickimphotography.com'}",ERIC KIM,WHY FAT IS BAD,"OK, some things: First and foremost, I do not promote fat shaming. This is not productive nor constructive. If you shame somebody for being fat, it actually has the opposite effect; they feel bad about themselves, eat more sugars starches and carbs, and actua…",https://erickimphotography.com/blog/2024/01/08/why-fat-is-bad/,,2024-01-08T13:15:26Z,"OK, some things:
 First and foremost, I do not promote fat shaming. This is not productive nor constructive. If you shame somebody for being fat, it actually has the opposite effect; they feel bad a… [+3322 chars]"
"{'id': 'fortune', 'name': 'Fortune'}",Christiaan Hetzner,"Elon Musk loses title as world’s richest person to LVMH patriarch Bernard Arnault, paying the price for January rout in Tesla stock","Tesla shed $200 billion in market value in the span of just one month following a litany of setbacks, wiping billions off of Musk's net worth.",https://fortune.com/2024/01/29/elon-musk-tesla-richest-person-world-lvmh-bernard-arnault/,"https://content.fortune.com/wp-content/uploads/2024/01/GettyImages-1948402345_5648b8-e1706531479840.jpg?resize=1200,600",2024-01-29T13:00:24Z,"Elon Musk has lost bragging rights as the worlds wealthiest tycoon to Bernard Arnault, the French patriarch behind luxury goods giant LVMH, following a disastrous January during which Tesla shed a st… [+2895 chars]"
"{'id': None, 'name': 'Wornandwound.com'}",Zach Kazan,Hublot Taps One of their Favorite Artist Collaborators for the new Classic Fusion Tourbillon Orlinksi,"For this year’s LVMH Watch Week, Hublot has unveiled their latest collaboration with the artist Richard Orlinskli, a pair of limited edition tourbillons in pop-art inspired shades with dramatically skeletonized dials. The Hublot partnership with Orlinski goes…",https://wornandwound.com/hublot-taps-one-of-their-favorite-artist-collaborators-for-the-new-classic-fusion-tourbillon-orlinksi/,https://wornandwound.com/library/uploads/2024/01/Hublot-Orlinski-Classic-Fusion-Tourbillon-5.jpg,2024-01-29T21:00:54Z,"The new collaboration starts with a 45mm Classic Fusion case in either yellow of sky blue ceramic, but true to form with the Orlinski watches, Hublot has given the artist the opportunity to shape and… [+1323 chars]"
"{'id': 'fortune', 'name': 'Fortune'}",Prarthana Prakash,Bernard Arnault's LVMH is stepping into 2024 with confidence after as shoppers chase its highest-end products,"The French powerhouse, home to Dior, Louis Vuitton, Sephora, and Tiffany's, stunned with a 10% sales surge in the final quarter of 2023.",https://fortune.com/europe/2024/01/26/lvmh-q4-surge-bernard-arnault/,"https://content.fortune.com/wp-content/uploads/2024/01/GettyImages-1834071235-e1706272400804.jpg?resize=1200,600",2024-01-26T13:04:38Z,"Luxurys luster seemed to be dimming in 2023 as the rich held back on lavish spending. However, some players, like LVMH, are defying economic headwinds. The French powerhouse, home to Dior, Louis Vuit… [+3617 chars]"
"{'id': None, 'name': 'Marketscreener.com'}",,LVMH : UBS remains Neutral,(marketscreener.com) UBS confirms his opinion on the stock and remains Neutral. The target price has been modified and is now set at EUR 760 compared to EUR 747.https://www.marketscreener.com/quote/stock/LVMH-4669/news/LVMH-UBS-remains-Neutral-45819640/?utm_m…,https://www.marketscreener.com/quote/stock/LVMH-4669/news/LVMH-UBS-remains-Neutral-45819640/,https://www.marketscreener.com/images/twitter_MS_fdnoir.png,2024-01-26T07:21:31Z,"LVMH : A resilient year-end 
January 26, 2024 at 01:36 am EST"
"{'id': None, 'name': 'Marketscreener.com'}",,LVMH : Barclays sticks Neutral,"(marketscreener.com) In a research note published by Carole Madjo, Barclays gives a Neutral rating to the stock. The target price is unchanged at EUR 800.https://www.marketscreener.com/quote/stock/LVMH-4669/news/LVMH-Barclays-sticks-Neutral-45822378/?utm_medi…",https://www.marketscreener.com/quote/stock/LVMH-4669/news/LVMH-Barclays-sticks-Neutral-45822378/,https://www.marketscreener.com/images/twitter_MS_fdnoir.png,2024-01-26T14:05:29Z,"LVMH : A resilient year-end 
January 26, 2024 at 01:36 am EST"
"{'id': None, 'name': 'Marketscreener.com'}",,LVMH : Buy rating from RBC,(marketscreener.com) RBC analyst Piral Dadhania maintains his Buy rating on the stock. The target price is still set at EUR 790.https://www.marketscreener.com/quote/stock/LVMH-4669/news/LVMH-Buy-rating-from-RBC-45731517/?utm_medium=RSS&utm_content=20240112,https://www.marketscreener.com/quote/stock/LVMH-4669/news/LVMH-Buy-rating-from-RBC-45731517/,https://www.marketscreener.com/images/twitter_MS_fdblanc.png,2024-01-12T12:05:13Z,"LVMH : Back to earth 
October 11, 2023 at 11:04 am EDT"
