Datetime,Open,High,Low,Close,Adj Close,Volume,2_SMA,5_SMA
2024-01-02 11:30:00,249.9940948486328,251.0,249.9001007080078,250.47540283203125,250.47540283203125,6197232,250.23770141601562,249.55988159179688
2024-01-02 12:00:00,250.4499969482422,250.66000366210935,247.9416961669922,248.3500061035156,248.3500061035156,5924493,249.41270446777344,249.47108154296876
2024-01-02 12:30:00,248.35499572753903,249.13299560546875,247.4900054931641,247.58140563964844,247.58140563964844,4590789,247.96570587158203,249.06536254882812
2024-01-02 13:00:00,247.58380126953125,248.72000122070312,247.0,248.3516998291016,248.3516998291016,4709374,247.966552734375,248.9517028808594
2024-01-02 13:30:00,248.38999938964844,249.3800048828125,247.9499969482422,248.24839782714844,248.24839782714844,4269095,248.300048828125,248.60138244628905
2024-01-02 14:00:00,248.256103515625,248.5399932861328,247.3000030517578,248.13720703125,248.13720703125,4500933,248.19280242919922,248.1337432861328
2024-01-02 14:30:00,248.1000061035156,248.3800048828125,247.50999450683597,247.7299041748047,247.7299041748047,3633256,247.93355560302734,248.0097229003906
2024-01-02 15:00:00,247.72000122070312,247.8699951171875,246.3300018310547,246.77999877929688,246.77999877929688,5997325,247.25495147705078,247.8494415283203
2024-01-02 15:30:00,246.7700042724609,248.69000244140625,246.05999755859372,248.3999938964844,248.3999938964844,7973090,247.58999633789062,247.85910034179688
2024-01-03 09:30:00,244.97999572753903,245.67999267578125,238.8600006103516,239.1419982910156,239.1419982910156,23962522,243.77099609375,246.0378204345703
2024-01-03 10:00:00,239.13999938964844,240.38999938964844,236.32000732421875,237.93389892578125,237.93389892578125,16950868,238.53794860839844,243.99715881347657
2024-01-03 10:30:00,237.9600067138672,239.6699981689453,237.1199951171875,239.52999877929688,239.52999877929688,10100669,238.73194885253906,242.357177734375
2024-01-03 11:00:00,239.5249938964844,240.30999755859372,238.0800018310547,239.04010009765625,239.04010009765625,8777411,239.28504943847656,240.80919799804687
2024-01-03 11:30:00,239.0500030517578,240.19000244140625,238.3500061035156,240.0800018310547,240.0800018310547,6508557,239.56005096435547,239.14519958496095
2024-01-03 12:00:00,240.0800018310547,240.8699951171875,239.26300048828125,240.45860290527344,240.45860290527344,6709776,240.26930236816406,239.4085205078125
2024-01-03 12:30:00,240.44000244140625,241.16000366210935,240.02999877929688,240.9501037597656,240.9501037597656,5065700,240.70435333251953,240.0117614746094
2024-01-03 13:00:00,240.9499969482422,241.27999877929688,239.8600006103516,240.1658935546875,240.1658935546875,5079668,240.55799865722656,240.1389404296875
